trial_type,trial_index,time_elapsed,internal_node_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,stimulus,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,phase,deviceInfo,itemID,stimulus_type,correct_ans,list,content,sound1,sound2
html-keyboard-response,41,280659,0.0-10.0-0.5,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,42,281170,0.0-10.0-1.5,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>It is time to go home.</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,43,282752,0.0-10.0-2.5,,,,,,null,null,stimuli/FAS_M6M-BKBR-00-02.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,44,283268,0.0-10.0-3.5,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>It is time to go home.</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,45,284813,0.0-10.0-4.5,,,,,,null,null,stimuli/FAS_M1M-BKBR-00-02.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,46,286240,0.0-10.0-5.5,,,,,,1426,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>It is time to go home.</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,8,MM,j,BKB,It is time to go home.,stimuli/FAS_M6M-BKBR-00-02.wav,stimuli/FAS_M1M-BKBR-00-02.wav
html-keyboard-response,47,287249,0.0-10.0-0.6,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,48,287753,0.0-10.0-1.6,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>hat</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,49,288292,0.0-10.0-2.6,,,,,,null,null,stimuli/FAS_E1M-WIPI-01-06.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,50,288799,0.0-10.0-3.6,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>hat</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,51,289373,0.0-10.0-4.6,,,,,,null,null,stimuli/FAS_M6M-WIPI-01-06.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,52,290228,0.0-10.0-5.6,,,,,,855,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>hat</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,6,EM,f,WIPI,hat,stimuli/FAS_E1M-WIPI-01-06.wav,stimuli/FAS_M6M-WIPI-01-06.wav
html-keyboard-response,53,291235,0.0-10.0-0.7,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,54,291748,0.0-10.0-1.7,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>The front yard is pretty.</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,55,293412,0.0-10.0-2.7,,,,,,null,null,stimuli/FAS_M6M-HINT-P1-03.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,56,293917,0.0-10.0-3.7,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>The front yard is pretty.</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,57,295413,0.0-10.0-4.7,,,,,,null,null,stimuli/FAS_E5M-HINT-P1-03.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,58,297649,0.0-10.0-5.7,,,,,,2236,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>The front yard is pretty.</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,12,EM,f,HINT,The front yard is pretty.,stimuli/FAS_M6M-HINT-P1-03.wav,stimuli/FAS_E5M-HINT-P1-03.wav
html-keyboard-response,59,298665,0.0-10.0-0.8,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,60,299179,0.0-10.0-1.8,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>fox</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,61,299953,0.0-10.0-2.8,,,,,,null,null,stimuli/FAS_M6M-WIPI-01-05.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,62,300459,0.0-10.0-3.8,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>fox</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,63,301132,0.0-10.0-4.8,,,,,,null,null,stimuli/FAS_E1M-WIPI-01-05.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,64,301750,0.0-10.0-5.8,,,,,,617,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>fox</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,5,EM,f,WIPI,fox,stimuli/FAS_M6M-WIPI-01-05.wav,stimuli/FAS_E1M-WIPI-01-05.wav
html-keyboard-response,65,302753,0.0-10.0-0.9,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,66,303257,0.0-10.0-1.9,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>The boy got into trouble.</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,67,304773,0.0-10.0-2.9,,,,,,null,null,stimuli/FAS_E5M-HINT-P1-01.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,68,305284,0.0-10.0-3.9,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>The boy got into trouble.</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,69,307112,0.0-10.0-4.9,,,,,,null,null,stimuli/FAS_M6M-HINT-P1-01.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,70,307630,0.0-10.0-5.9,,,,,,517,f,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>The boy got into trouble.</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,10,EM,f,HINT,The boy got into trouble.,stimuli/FAS_E5M-HINT-P1-01.wav,stimuli/FAS_M6M-HINT-P1-01.wav
html-keyboard-response,71,308639,0.0-10.0-0.10,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,72,309153,0.0-10.0-1.10,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>They watched the movie.</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,73,310453,0.0-10.0-2.10,,,,,,null,null,stimuli/FAS_M1M-BKBR-00-01.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,74,310956,0.0-10.0-3.10,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>They watched the movie.</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,75,312392,0.0-10.0-4.10,,,,,,null,null,stimuli/FAS_M6M-BKBR-00-01.wav,,,,,,,,,,,,,,,,,,,,
